id=0,en="unknown",ja="unknown",search="unknown",
id=1,en="Phanauet Channel",ja="??????",search="PhanauetCh",
id=2,en="Carpenters' Landing",ja="?????",search="CpntLanding",
id=3,en="Manaclipper",ja="???????",search="Manaclipper",
id=4,en="Bibiki Bay",ja="?????",search="BibikiBay",
id=5,en="Uleguerand Range",ja="???????",search="Uleguerand",
id=6,en="Bearclaw Pinnacle",ja="???",search="BearclawPn",
id=7,en="Attohwa Chasm",ja="??????",search="AttohwaCsm",
id=8,en="Boneyard Gully",ja="???",search="BoneyardGl",
id=9,en="Pso'Xja",ja="?·??",search="PsoXja",
id=10,en="The Shrouded Maw",ja="????",search="ShroudMaw",
id=11,en="Oldton Movalpolos",ja="?????????",search="OldMoval",
id=12,en="Newton Movalpolos",ja="?????????",search="NewMoval",
id=13,en="Mine Shaft #2716",ja="2716????",search="Mine2716",
id=14,en="Hall of Transference",ja="????",search="HallOfTrns",
id=15,en="Abyssea - Konschtat",ja="????-???????",search="AbysKonscht",
id=16,en="Promyvion - Holla",ja="??????-??",search="PromvHolla",
id=17,en="Spire of Holla",ja="????",search="SpireHolla",
id=18,en="Promyvion - Dem",ja="??????-??",search="PromvDem",
id=19,en="Spire of Dem",ja="????",search="SpireDem",
id=20,en="Promyvion - Mea",ja="??????-??",search="PromvMea",
id=21,en="Spire of Mea",ja="????",search="SpireMea",
id=22,en="Promyvion - Vahzl",ja="??????-???",search="PromvVahzl",
id=23,en="Spire of Vahzl",ja="?????",search="SpireVahzl",
id=24,en="Lufaise Meadows",ja="??????",search="LufaiseMds",
id=25,en="Misareaux Coast",ja="??????",search="Misareaux",
id=26,en="Tavnazian Safehold",ja="????????",search="TavSafehld",
id=27,en="Phomiuna Aqueducts",ja="???????",search="PhomiunaAq",
id=28,en="Sacrarium",ja="???",search="Sacrarium",
id=29,en="Riverne - Site #B01",ja="???????????B01",search="RiverneB01",
id=30,en="Riverne - Site #A01",ja="???????????A01",search="RiverneA01",
id=31,en="Monarch Linn",ja="?????",search="MonarchLinn",
id=32,en="Sealion's Den",ja="??????",search="SealionDen",
id=33,en="Al'Taieu",ja="??·??",search="AlTaieu",
id=34,en="Grand Palace of Hu'Xzoi",ja="?·?????",search="HuXzoi",
id=35,en="The Garden of Ru'Hmet",ja="?·????",search="RuHmet",
id=36,en="Empyreal Paradox",ja="????",search="EmParadox",
id=37,en="Temenos",ja="????",search="Temenos",
id=38,en="Apollyon",ja="?????",search="Apollyon",
id=39,en="Dynamis - Valkurm",ja="?????-?????",search="DynamisVal",
id=40,en="Dynamis - Buburimu",ja="?????-????",search="DynamisBub",
id=41,en="Dynamis - Qufim",ja="?????-????",search="DynamisQuf",
id=42,en="Dynamis - Tavnazia",ja="?????-?????",search="DynamisTav",
id=43,en="Diorama Abdhaljs-Ghelsba",ja="????????-????",search="DioramaGhel",
id=44,en="Abdhaljs Isle-Purgonorgo",ja="???????-??????",search="AbdhalPurgo",
id=45,en="Abyssea - Tahrongi",ja="????-????",search="AbysTahrongi",
id=46,en="Open sea route to Al Zahbi",ja="????:??????",search="OpenseaZah",
id=47,en="Open sea route to Mhaura",ja="????:?????",search="OpenseaMha",
id=48,en="Al Zahbi",ja="????",search="AlZahbi",
id=50,en="Aht Urhgan Whitegate",ja="???????",search="Whitegate",
id=51,en="Wajaom Woodlands",ja="???????",search="Wajaom",
id=52,en="Bhaflau Thickets",ja="??????",search="BhafThicket",
id=53,en="Nashmau",ja="????",search="Nashmau",
id=54,en="Arrapago Reef",ja="???????",search="ArrpgoReef",
id=55,en="Ilrusi Atoll",ja="??????",search="Ilrusi",
id=56,en="Periqia",ja="????",search="Periqia",
id=57,en="Talacca Cove",ja="??????",search="Talacca",
id=58,en="Silver Sea route to Nashmau",ja="????:??????",search="SilvSeaNas",
id=59,en="Silver Sea route to Al Zahbi",ja="????:??????",search="SilvSeaZah",
id=60,en="The Ashu Talif",ja="???????",search="AshuTalif",
id=61,en="Mount Zhayolm",ja="??????",search="MtZhayolm",
id=62,en="Halvung",ja="?????",search="Halvung",
id=63,en="Lebros Cavern",ja="??????",search="Lebros",
id=64,en="Navukgo Execution Chamber",ja="??????",search="Navukgo",
id=65,en="Mamook",ja="????",search="Mamook",
id=66,en="Mamool Ja Training Grounds",ja="?????????",search="MamoolTrGr",
id=67,en="Jade Sepulcher",ja="???",search="JadeSepul",
id=68,en="Aydeewa Subterrane",ja="?????",search="Aydeewa",
id=69,en="Leujaoam Sanctum",ja="???????",search="Leujaoam",
id=70,en="Chocobo Circuit",ja="?????????",search="ChocoCirc",
id=71,en="The Colosseum",ja="?????",search="Colosseum",
id=72,en="Alzadaal Undersea Ruins",ja="???????????",search="AlzaUndrsea",
id=73,en="Zhayolm Remnants",ja="??????",search="ZhaylmRem",
id=74,en="Arrapago Remnants",ja="??????",search="ArrpgoRem",
id=75,en="Bhaflau Remnants",ja="??????",search="BhaflauRem",
id=76,en="Silver Sea Remnants",ja="????",search="SilvSeaRem",
id=77,en="Nyzul Isle",ja="?????",search="Nyzul",
id=78,en="Hazhalm Testing Grounds",ja="???????",search="Hazhalm",
id=79,en="Caedarva Mire",ja="???????",search="Caedarva",
id=80,en="Southern San d'Oria [S]",ja="???????S?",search="SSandOria_S",
id=81,en="East Ronfaure [S]",ja="????????S?",search="ERonfaure_S",
id=82,en="Jugner Forest [S]",ja="????????S?",search="Jugner_S",
id=83,en="Vunkerl Inlet [S]",ja="???????S?",search="Vunkerl_S",
