"Biv #0" | 355.969 | -60.4479 | 134.775
"Biv #1" (L-10) | 320.456 | -20 | -79.7119
"Biv #2" | 4.99217 | 0 | 81.8355
"Biv #3" | -322.545 | -20 | -126.393
"Biv #4" | -324.647 | -40 | 197.198
"C. Reive" (D-7) | -300.816 | -19.165 | 84.1525
"C. Reive" (F-9) | -181.182 | 0.833314 | -77.463
"C. Reive" (G-10) | -94.0916 | 40.293 | -112.279
"C. Reive" (I-11) | 96.7987 | 40.8389 | -158.437
"C. Reive" (J-11) | 164.562 | 0.718398 | -140.945
"C. Reive" (K-8) | 218.557 | -19.2023 | 41.8692
"C. Reive" (L-9) | 323.757 | -39.0666 | -19.5614
"lostA (E-6)" | -242.622 | -20.0838 | 248.69
"lostA (H-9)" | 32.015 | 0.798118 | -21.1684
"lostA (K-9)" | 260.412 | -4.93887 | -20.0191
"lostA (L-12)" | 279.871 | -19.8658 | -273.295
"WKR" | -22.2464 | -0.1296 | 174.526
